     ,val_mse_mean_rank ,val_mse_mean              ,val_mse_dev                ,val_mee_mean_rank ,val_mee_mean          ,val_mee_dev            ,tr_mse_mean_rank ,tr_mse_mean              ,tr_mse_dev               ,tr_mee_mean_rank ,tr_mee_mean          ,tr_mee_dev            ,split0_val_mse      ,split0_val_mee     ,split0_tr_mse          ,split0_tr_mee        ,split0_best_epoch ,split1_val_mse      ,split1_val_mee     ,split1_tr_mse          ,split1_tr_mee        ,split1_best_epoch ,split2_val_mse      ,split2_val_mee     ,split2_tr_mse          ,split2_tr_mee        ,split2_best_epoch ,split3_val_mse         ,split3_val_mee       ,split3_tr_mse          ,split3_tr_mee        ,split3_best_epoch ,split4_val_mse             ,split4_val_mee         ,split4_tr_mse             ,split4_tr_mee         ,split4_best_epoch ,params
   0 ,                2 ,       1.7407448782548187 ,        0.3008056300430912 ,                1 ,   1.4409613343159935 ,    0.1160838668665129 ,             112 ,      1.338588790205331  ,      0.083449092015833  ,             119 ,  1.2825292161943431 ,   0.0466971018601508 , 2.02367189714914   ,1.580668070442122  ,    1.248058420239562  ,  1.220325415536719  ,            198.0 , 2.1063590180837144 ,1.560930517035543  ,    1.2563585762463307 ,  1.2438125130928257 ,            205.0 , 1.2819400748958691 ,1.270175390253723  ,    1.402280072419552  ,  1.304466474537911  ,            187.0 ,    1.7172803006435224 ,  1.409710878258537  ,    1.4633251614795095 ,  1.3531205242989406 ,            197.0 ,        1.574473100501847  ,    1.3833218155900429 ,       1.3229217206417008 ,   1.2909211535053189 ,            201.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.75, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0005, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 200, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   1 ,                5 ,       1.7445596058829824 ,        0.3052624108967841 ,                2 ,   1.4451348934406378 ,    0.1285295892725782 ,             141 ,      1.3861446167289793 ,      0.0622402670800898 ,             149 ,  1.30878301501703   ,   0.0384340196500004 , 2.117716852946117  ,1.6383625967435134 ,    1.3111226289029774 ,  1.2658243554581272 ,            383.0 , 2.068267608746461  ,1.5249088925674228 ,    1.3132340783901228 ,  1.258936469950116  ,            367.0 , 1.3123799190801944 ,1.2652885966687824 ,    1.4503827879614817 ,  1.3507719270738787 ,            361.0 ,    1.618697180443314  ,  1.365279682679812  ,    1.408040681372686  ,  1.3333170002373331 ,            424.0 ,        1.6057364681988262 ,    1.4318346985436583 ,       1.4479429070176293 ,   1.3350653223656943 ,            387.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.9, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.00025, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 500, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   2 ,               52 ,       1.7856860658885811 ,        0.3509336295900872 ,                3 ,   1.44691363973002   ,    0.1349858739357037 ,              29 ,      1.1437937557555733 ,      0.0301160382472483 ,              30 ,  1.1834974685261923 ,   0.0177729936679528 , 2.155012612921623  ,1.6327824798001176 ,    1.155120885933483  ,  1.1778289459033198 ,            239.0 , 2.155832819188788  ,1.5429443957477535 ,    1.1026656868156286 ,  1.1563374502992818 ,            308.0 , 1.2237229970358163 ,1.2443749849503287 ,    1.1438177702270258 ,  1.1870241359845073 ,            454.0 ,    1.6234329478973109 ,  1.3674474127179046 ,    1.1249796684501625 ,  1.1845863164206591 ,            388.0 ,        1.7704289523993686 ,    1.4470189254339951 ,       1.192384767351567  ,   1.2117104940231946 ,            328.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.75, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0005, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 500, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   3 ,                6 ,       1.749122395189204  ,        0.2896947528511409 ,                4 ,   1.4472874468543104 ,    0.1123538238575401 ,              62 ,      1.2435539044509265 ,      0.0492190746151105 ,              70 ,  1.2347529627460063 ,   0.0330078077016002 , 2.0631479927927785 ,1.5902491759133923 ,    1.201815263632922  ,  1.197356330570011  ,            275.0 , 2.105993229419884  ,1.5572103978948455 ,    1.1744728282228565 ,  1.195448967500144  ,            252.0 , 1.3715877338782232 ,1.2996554542658345 ,    1.2846706773428695 ,  1.2600211461190531 ,            308.0 ,    1.5388671590493914 ,  1.354278382869471  ,    1.305593959377708  ,  1.276948497021606  ,            247.0 ,        1.6660158608057436 ,    1.435043823328009  ,       1.251216793678276  ,   1.2439898725192169 ,            327.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.75, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.001, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 500, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   4 ,               20 ,       1.7707844637581485 ,        0.328565719168225  ,                5 ,   1.4505807852323689 ,    0.1243498949073828 ,              78 ,      1.273160841702555  ,      0.0500571846155301 ,              89 ,  1.25445812077236   ,   0.0282653497790145 , 2.1533747510008374 ,1.6342542049114042 ,    1.2027889408014778 ,  1.216294860176546  ,            197.0 , 2.1098721818299504 ,1.54052240499952   ,    1.2273785803470647 ,  1.224370025408137  ,            194.0 , 1.2740480223192647 ,1.2755834095452057 ,    1.3236865793914507 ,  1.2845096034895545 ,            212.0 ,    1.7147712091763665 ,  1.4023346043816485 ,    1.3256472874931444 ,  1.273886140701171  ,            200.0 ,        1.601856154464323  ,    1.4002093023240665 ,       1.2863028204796376 ,   1.2732299740863913 ,            183.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.75, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.0005, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 200, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   5 ,                1 ,       1.7232782044414887 ,        0.2778504311875779 ,                6 ,   1.4509048656574226 ,    0.1104771789126486 ,             142 ,      1.3863735722272286 ,      0.041902610576542  ,             155 ,  1.312029010136123  ,   0.0228787292902561 , 1.9266190880415284 ,1.5899113096239617 ,    1.3639973603851752 ,  1.2976476241811332 ,            489.0 , 2.108478475127554  ,1.5720736477117268 ,    1.3382885334151176 ,  1.290291726522718  ,            494.0 , 1.315867660465175  ,1.3105205525540409 ,    1.4581680982388876 ,  1.3544003055941658 ,            498.0 ,    1.7160497060921007 ,  1.3993365731646878 ,    1.4058431615393527 ,  1.3167440352390247 ,            444.0 ,        1.549376092481084  ,    1.3826822452326963 ,       1.365570707557611  ,   1.301061359143573  ,            472.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.9, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30], ""lambd"": 0.0001, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 500, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   6 ,              102 ,       1.8069261088259487 ,        0.3389924740418926 ,                7 ,   1.4526667469906156 ,    0.1222282998424857 ,              55 ,      1.2217426966848068 ,      0.0368730014547275 ,              58 ,  1.2248613538224382 ,   0.0225228855931425 , 2.2081495002203555 ,1.637767355536994  ,    1.166653098684448  ,  1.1945591255612564 ,            270.0 , 2.1848831730545952 ,1.5506314057752126 ,    1.2086918460493346 ,  1.209245053590007  ,            221.0 , 1.3530294455715453 ,1.306542752611686  ,    1.2813718663816038 ,  1.2612596266858846 ,            304.0 ,    1.721163277999181  ,  1.376753029674509  ,    1.226720782668855  ,  1.2281799363567565 ,            247.0 ,        1.567405147284067  ,    1.3916391913546766 ,       1.2252758896397926 ,   1.2310630269182858 ,            492.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.75, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.0001, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 200, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   7 ,               45 ,       1.7836549350363824 ,        0.3465882728767304 ,                8 ,   1.4549153271156914 ,    0.131281375566155  ,              83 ,      1.2789825764452778 ,      0.0916989825327662 ,              83 ,  1.249545595292052  ,   0.0473101750320128 , 2.1681818382056046 ,1.6185845657693594 ,    1.229494428477727  ,  1.2187336896507983 ,            492.0 , 2.1807802214876446 ,1.596902588212508  ,    1.1552316045222213 ,  1.1819932318514437 ,            490.0 , 1.361191729117197  ,1.2897045274680794 ,    1.3465684967647575 ,  1.285832055393085  ,            388.0 ,    1.765405103334068  ,  1.4168552676658648 ,    1.4158656490075534 ,  1.31547743317554   ,            315.0 ,        1.4427157830373978 ,    1.3525296864626457 ,       1.2477527034541294 ,   1.2456915663893935 ,            257.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.8, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 60], ""lambd"": 0.00025, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 200, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   8 ,              129 ,       1.8150257098097893 ,        0.3768694079757517 ,                9 ,   1.456186548578166  ,    0.1413719252518153 ,               8 ,      1.0538757727756558 ,      0.081444919025909  ,              10 ,  1.1381614313794504 ,   0.0362705179255203 , 2.2859314892250064 ,1.666765840686591  ,    0.9565220215772864 ,  1.0875780023918544 ,            428.0 , 2.173956414490433  ,1.5498179288696463 ,    0.9976684827447212 ,  1.1142852797005216 ,            355.0 , 1.280342480371755  ,1.252720848675296  ,    1.0927866952684469 ,  1.1620848470488363 ,            486.0 ,    1.7901792168834143 ,  1.418977778145711  ,    1.0323244190082967 ,  1.13514774729432   ,            329.0 ,        1.5447189480783357 ,    1.3926503465135855 ,       1.1900772452795274 ,   1.1917112804617205 ,            321.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.75, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.00025, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 500, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
   9 ,              154 ,       1.82487559425743   ,        0.3726980917912987 ,               10 ,   1.45636231825933   ,    0.1292712524694104 ,              41 ,      1.1731712098469014 ,      0.0810201906359011 ,              41 ,  1.2001612127607657 ,   0.0463091164831532 , 2.170281856636965  ,1.6289392253662602 ,    1.0890930431690669 ,  1.1305900621250948 ,            326.0 , 2.353058682634795  ,1.5813629733484782 ,    1.0824409352160724 ,  1.1638867461102889 ,            293.0 , 1.3666485769772645 ,1.2843892197534637 ,    1.184720216428614  ,  1.221068099799998  ,            440.0 ,    1.616315853552786  ,  1.3750621990135126 ,    1.2097452142530212 ,  1.226470479771071  ,            301.0 ,        1.6180730014853386 ,    1.4120579738149357 ,       1.2998566401677325 ,   1.2587906759973737 ,            222.0 ,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.8, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.0001, ""learning_rate"": ""linear_decay"", ""learning_rate_init"": 0.1, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tau"": 200, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
